FK_CompanyBillingDetails_BillingCountry,CompanyBillingDetails,BillingCountry,Country,CountryCode,VIOLATION: FK name does not follow [ReferencedTable]ID pattern
FK_CompanyBillingDetails_Company,CompanyBillingDetails,CompanyID,Company,CompanyID,COMPLIANT
FK_CompanyCustomerDetails_Company,CompanyCustomerDetails,CompanyID,Company,CompanyID,COMPLIANT
FK_CompanyOrganizerDetails_Company,CompanyOrganizerDetails,CompanyID,Company,CompanyID,COMPLIANT
FK_CompanyRelationship_ApprovedBy,CompanyRelationship,ApprovedBy,User,UserID,VIOLATION: FK name does not follow [ReferencedTable]ID pattern
FK_CompanyRelationship_Child,CompanyRelationship,ChildCompanyID,Company,CompanyID,CONTEXTUAL (OK)
FK_CompanyRelationship_EstablishedBy,CompanyRelationship,EstablishedBy,User,UserID,VIOLATION: FK name does not follow [ReferencedTable]ID pattern
FK_CompanyRelationship_Parent,CompanyRelationship,ParentCompanyID,Company,CompanyID,CONTEXTUAL (OK)
FK_CompanySwitchRequest_ApprovedBy,CompanySwitchRequest,ApprovedBy,User,UserID,VIOLATION: FK name does not follow [ReferencedTable]ID pattern
FK_CompanySwitchRequest_FromCompany,CompanySwitchRequest,FromCompanyID,Company,CompanyID,CONTEXTUAL (OK)
FK_CompanySwitchRequest_RejectedBy,CompanySwitchRequest,RejectedBy,User,UserID,VIOLATION: FK name does not follow [ReferencedTable]ID pattern
FK_CompanySwitchRequest_RequestedBy,CompanySwitchRequest,RequestedBy,User,UserID,VIOLATION: FK name does not follow [ReferencedTable]ID pattern
FK_CompanySwitchRequest_ToCompany,CompanySwitchRequest,ToCompanyID,Company,CompanyID,CONTEXTUAL (OK)
FK_CompanySwitchRequest_User,CompanySwitchRequest,UserID,User,UserID,COMPLIANT
FK_Country_DefaultLanguage,Country,DefaultLanguageCode,Language,LanguageCode,VIOLATION: FK name does not follow [ReferencedTable]ID pattern
FK_CountryApplicationSpecification_Country,CountryApplicationSpecification,CountryID,Country,CountryID,COMPLIANT
FK_CountryApplicationSpecification_Specification,CountryApplicationSpecification,SpecificationID,ApplicationSpecification,SpecificationID,VIOLATION: FK name does not follow [ReferencedTable]ID pattern
FK_CountryWebProperties_Country,CountryWebProperties,CountryID,Country,CountryID,COMPLIANT
FK_EnvironmentApplicationSpecification_Specification,EnvironmentApplicationSpecification,SpecificationID,ApplicationSpecification,SpecificationID,VIOLATION: FK name does not follow [ReferencedTable]ID pattern
FK_Invitation_AcceptedBy,Invitation,AcceptedByUserID,User,UserID,CONTEXTUAL (OK)
FK_Invitation_CancelledBy,Invitation,CancelledByUserID,User,UserID,CONTEXTUAL (OK)
FK_Invitation_Company,Invitation,CompanyID,Company,CompanyID,COMPLIANT
FK_Invitation_InvitedBy,Invitation,InvitedByUserID,User,UserID,CONTEXTUAL (OK)
FK_Invitation_Status,Invitation,Status,InvitationStatus,StatusCode,VIOLATION: FK name does not follow [ReferencedTable]ID pattern
FK_User_LanguagePreference,User,LanguagePreference,Language,LanguageCode,VIOLATION: FK name does not follow [ReferencedTable]ID pattern
FK_User_Status,User,Status,UserStatus,StatusCode,VIOLATION: FK name does not follow [ReferencedTable]ID pattern
FK_UserCompany_Company,UserCompany,CompanyID,Company,CompanyID,COMPLIANT
FK_UserCompany_InvitedBy,UserCompany,InvitedByUserID,User,UserID,CONTEXTUAL (OK)
FK_UserCompany_User,UserCompany,UserID,User,UserID,COMPLIANT
FK_ValidationRule_Country,ValidationRule,CountryID,Country,CountryID,COMPLIANT
